"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.65086160591E+008, +9.72412274494E-001, -1.03969984193E-001
+1.68158610794E+008, +9.71962590281E-001, -1.04851758444E-001
+1.71231060997E+008, +9.71428713058E-001, -1.05905903556E-001
+1.74303511201E+008, +9.70783453099E-001, -1.07193577971E-001
+1.77908579442E+008, +9.69907670797E-001, -1.08945998577E-001
+1.82126243355E+008, +9.68728244405E-001, -1.11213020190E-001
+1.86343907268E+008, +9.67270703928E-001, -1.13280809731E-001
+1.90561571180E+008, +9.65691802096E-001, -1.15549307502E-001
+1.94779235093E+008, +9.64032348188E-001, -1.17877431505E-001
+1.98996899006E+008, +9.62407252028E-001, -1.19866046233E-001
+2.03214562918E+008, +9.60993850368E-001, -1.21591137554E-001
+2.07432226831E+008, +9.59703225226E-001, -1.22195811211E-001
+2.11649890744E+008, +9.58059287786E-001, -1.22983522020E-001
+2.15867554656E+008, +9.56273277539E-001, -1.25071274588E-001
+2.20085218569E+008, +9.54587816591E-001, -1.27805711694E-001
+2.24302882482E+008, +9.53073152143E-001, -1.30661515882E-001
+2.28520546394E+008, +9.51780226485E-001, -1.33282562411E-001
+2.32738210307E+008, +9.50708354603E-001, -1.35679782133E-001
+2.36955874219E+008, +9.49872228534E-001, -1.37903142256E-001
+2.41856762853E+008, +9.49219312298E-001, -1.40146674413E-001
+2.47652361423E+008, +9.48805153100E-001, -1.42535058548E-001
+2.53447959994E+008, +9.48880999252E-001, -1.43687665427E-001
+2.59243558564E+008, +9.49331962536E-001, -1.44282445692E-001
+2.65039157134E+008, +9.49888937495E-001, -1.45359501630E-001
+2.70834755705E+008, +9.50439032643E-001, -1.46832900329E-001
+2.76630354275E+008, +9.50717541458E-001, -1.48839041299E-001
+2.82425952845E+008, +9.50715438895E-001, -1.51090311906E-001
+2.88221551416E+008, +9.50518528443E-001, -1.53499785885E-001
+2.94017149986E+008, +9.49962812981E-001, -1.56299621698E-001
+2.99812748556E+008, +9.48921372792E-001, -1.59549964227E-001
+3.05608347127E+008, +9.46535715961E-001, -1.65538711947E-001
+3.11403945697E+008, +9.43533444294E-001, -1.71660674420E-001
+3.17199544267E+008, +9.40204649520E-001, -1.77541618511E-001
+3.22995142838E+008, +9.36877898741E-001, -1.83052172661E-001
+3.28790741408E+008, +9.33523557916E-001, -1.88654212277E-001
+3.35591023581E+008, +9.29845504925E-001, -1.95672285347E-001
+3.43546852097E+008, +9.27244624835E-001, -2.02117104314E-001
+3.51502680613E+008, +9.26415059479E-001, -1.91747806636E-001
+3.59458509129E+008, +9.22213927827E-001, -1.93148413056E-001
+3.67414337645E+008, +9.19305127862E-001, -2.01734760528E-001
+3.75370166161E+008, +9.17100338710E-001, -2.08622035802E-001
+3.83325994677E+008, +9.15806611114E-001, -2.11559533020E-001
+3.91281823193E+008, +9.15524630228E-001, -2.12927000821E-001
+3.99237651709E+008, +9.16018188457E-001, -2.13231722439E-001
+4.07193480225E+008, +9.16415247278E-001, -2.14554151341E-001
+4.15149308741E+008, +9.17031682045E-001, -2.15174463956E-001
+4.23105137257E+008, +9.17590281411E-001, -2.15273748011E-001
+4.31060965773E+008, +9.17748612090E-001, -2.15409414302E-001
+4.39016794289E+008, +9.17173812946E-001, -2.15612610668E-001
+4.46972622805E+008, +9.15678867804E-001, -2.16631037963E-001
+4.56217226062E+008, +9.12256538278E-001, -2.20121238023E-001
+4.67149531084E+008, +9.06359017754E-001, -2.26446193633E-001
+4.78081836106E+008, +8.99158735895E-001, -2.34618379575E-001
+4.89014141128E+008, +8.91526898095E-001, -2.44139015561E-001
+4.99946446150E+008, +8.84224954466E-001, -2.54698498380E-001
+5.10878751172E+008, +8.77921372863E-001, -2.64027178207E-001
+5.21811056194E+008, +8.73475012059E-001, -2.72902106560E-001
+5.32743361216E+008, +8.71267810456E-001, -2.80025853899E-001
+5.43675666238E+008, +8.71017640208E-001, -2.83900874667E-001
+5.54607971260E+008, +8.71791596674E-001, -2.86230538621E-001
+5.65540276281E+008, +8.73078202890E-001, -2.86116775334E-001
+5.76472581303E+008, +8.73835421459E-001, -2.84892821028E-001
+5.87404886325E+008, +8.73367393381E-001, -2.83357605566E-001
+5.98337191347E+008, +8.71022331406E-001, -2.82349119119E-001
+6.09269496369E+008, +8.66998747287E-001, -2.83151370413E-001
+6.20201801391E+008, +8.60735880019E-001, -2.85747230951E-001
+6.33029252784E+008, +8.51896596276E-001, -2.92305004514E-001
+6.48036424690E+008, +8.41827591461E-001, -3.01473995146E-001
+6.63043596595E+008, +8.33876015450E-001, -3.11157300368E-001
+6.78050768500E+008, +8.29255991963E-001, -3.21168164052E-001
+6.93057940405E+008, +8.28333842949E-001, -3.26935605907E-001
