"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.07193480225E+008, +9.49430540178E-001, -1.52278779656E-001
+4.15149308741E+008, +9.51068327942E-001, -1.51807652838E-001
+4.23105137257E+008, +9.52726339102E-001, -1.50772662981E-001
+4.31060965773E+008, +9.54085349273E-001, -1.49739973758E-001
+4.39016794289E+008, +9.54812903051E-001, -1.48770360167E-001
+4.46972622805E+008, +9.54759458183E-001, -1.48668697197E-001
+4.56217226062E+008, +9.53241855731E-001, -1.51011435350E-001
+4.67149531084E+008, +9.49678210906E-001, -1.56196826347E-001
+4.78081836106E+008, +9.44868877433E-001, -1.63471681970E-001
+4.89014141128E+008, +9.39561735516E-001, -1.72305364227E-001
+4.99946446150E+008, +9.34476777799E-001, -1.82402626191E-001
+5.10878751172E+008, +9.30073839689E-001, -1.91406896641E-001
+5.21811056194E+008, +9.27365723352E-001, -2.00000905068E-001
+5.32743361216E+008, +9.26768638738E-001, -2.06800071362E-001
+5.43675666238E+008, +9.27931773222E-001, -2.10198819630E-001
+5.54607971260E+008, +9.30205607516E-001, -2.11960193112E-001
+5.65540276281E+008, +9.33032885534E-001, -2.11103619540E-001
+5.76472581303E+008, +9.35480658694E-001, -2.09082471244E-001
+5.87404886325E+008, +9.36903500406E-001, -2.06682495298E-001
+5.98337191347E+008, +9.36607271701E-001, -2.04861946024E-001
+6.09269496369E+008, +9.34857346428E-001, -2.04923360322E-001
+6.20201801391E+008, +9.30937603982E-001, -2.06999983029E-001
+6.33029252784E+008, +9.24867044792E-001, -2.13245056986E-001
+6.48036424690E+008, +9.17809882913E-001, -2.22286368867E-001
+6.63043596595E+008, +9.12469250746E-001, -2.31973921907E-001
+6.78050768500E+008, +9.10357849467E-001, -2.42156066370E-001
+6.93057940405E+008, +9.11673611827E-001, -2.47905448820E-001
+7.08065112311E+008, +9.14956238650E-001, -2.46890084600E-001
+7.23072284216E+008, +9.19014413351E-001, -2.42460462242E-001
+7.38079456121E+008, +9.21451670274E-001, -2.37016014778E-001
+7.53086628027E+008, +9.20910036819E-001, -2.33860919933E-001
