"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.32738210307E+008, +9.18492914927E-001, -2.91292396290E-001
+2.36955874219E+008, +9.16734766116E-001, -2.96055088195E-001
+2.41856762853E+008, +9.15007376303E-001, -3.01310410215E-001
+2.47652361423E+008, +9.13333754267E-001, -3.07317327958E-001
+2.53447959994E+008, +9.12303840340E-001, -3.12227270558E-001
+2.59243558564E+008, +9.11658541492E-001, -3.16699221060E-001
+2.65039157134E+008, +9.10915776200E-001, -3.21702127356E-001
+2.70834755705E+008, +9.09958982984E-001, -3.27149725838E-001
+2.76630354275E+008, +9.08571906288E-001, -3.33104488957E-001
+2.82425952845E+008, +9.06725125395E-001, -3.39325343149E-001
+2.88221551416E+008, +9.04523931550E-001, -3.45617935220E-001
+2.94017149986E+008, +9.01821429658E-001, -3.52246204235E-001
+2.99812748556E+008, +8.98486068880E-001, -3.59183003438E-001
+3.05608347127E+008, +8.93197813713E-001, -3.68489033040E-001
+3.11403945697E+008, +8.87213095390E-001, -3.77715500680E-001
+3.17199544267E+008, +8.80931189100E-001, -3.86571761705E-001
+3.22995142838E+008, +8.74714080324E-001, -3.95005717037E-001
+3.28790741408E+008, +8.68530563209E-001, -4.03377186909E-001
+3.35591023581E+008, +8.61486115417E-001, -4.13557134472E-001
+3.43546852097E+008, +8.55532752038E-001, -4.24030205688E-001
+3.51502680613E+008, +8.56101069237E-001, -4.17811408236E-001
+3.59458509129E+008, +8.50262971697E-001, -4.22494541254E-001
+3.67414337645E+008, +8.43919756350E-001, -4.34466669727E-001
+3.75370166161E+008, +8.38732200542E-001, -4.44809721461E-001
+3.83325994677E+008, +8.35412765484E-001, -4.51472043711E-001
+3.91281823193E+008, +8.33305969184E-001, -4.56926498774E-001
+3.99237651709E+008, +8.31980868440E-001, -4.61655231269E-001
+4.07193480225E+008, +8.30047574981E-001, -4.67506738363E-001
+4.15149308741E+008, +8.28134523163E-001, -4.72943166767E-001
+4.23105137257E+008, +8.25948384107E-001, -4.78151891317E-001
