"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.71231060997E+008, -9.60125984139E-001, +1.84233061044E-002
+1.74303511201E+008, -9.59988712615E-001, +1.89258453941E-002
+1.77908579442E+008, -9.59987126002E-001, +1.95519941313E-002
+1.82126243355E+008, -9.60145866727E-001, +2.02019179917E-002
+1.86343907268E+008, -9.60330783291E-001, +2.03217711328E-002
+1.90561571180E+008, -9.60660350639E-001, +2.04688701543E-002
+1.94779235093E+008, -9.61132968972E-001, +2.04154950353E-002
+1.98996899006E+008, -9.61770131227E-001, +1.98127215400E-002
+2.03214562918E+008, -9.62727545204E-001, +1.87536497401E-002
+2.07432226831E+008, -9.63702307250E-001, +1.64234298438E-002
+2.11649890744E+008, -9.64217128904E-001, +1.44256334821E-002
+2.15867554656E+008, -9.64549541858E-001, +1.40742218299E-002
+2.20085218569E+008, -9.64829813653E-001, +1.46172721001E-002
+2.24302882482E+008, -9.65014184131E-001, +1.54160136757E-002
+2.28520546394E+008, -9.65055852601E-001, +1.61670383862E-002
+2.32738210307E+008, -9.64957291683E-001, +1.69071918655E-002
+2.36955874219E+008, -9.64695311189E-001, +1.76945405617E-002
+2.41856762853E+008, -9.64182986231E-001, +1.86139328251E-002
+2.47652361423E+008, -9.63310955410E-001, +1.98221446532E-002
+2.53447959994E+008, -9.62157944325E-001, +2.03906522472E-002
+2.59243558564E+008, -9.60749848862E-001, +2.07746386860E-002
+2.65039157134E+008, -9.59190094862E-001, +2.17283121594E-002
+2.70834755705E+008, -9.57519197393E-001, +2.30340542836E-002
+2.76630354275E+008, -9.55734090580E-001, +2.46574269425E-002
+2.82425952845E+008, -9.53945642983E-001, +2.62624143690E-002
+2.88221551416E+008, -9.52355745996E-001, +2.75060478700E-002
+2.94017149986E+008, -9.51010497922E-001, +2.85683966723E-002
+2.99812748556E+008, -9.49941921595E-001, +2.94018033839E-002
+3.05608347127E+008, -9.48499349670E-001, +3.25484990100E-002
+3.11403945697E+008, -9.47101376420E-001, +3.52224329871E-002
+3.17199544267E+008, -9.46087061409E-001, +3.69115677440E-002
+3.22995142838E+008, -9.45794488496E-001, +3.74663574956E-002
+3.28790741408E+008, -9.46223654426E-001, +3.74119895102E-002
+3.35591023581E+008, -9.47811950555E-001, +3.71777861986E-002
+3.43546852097E+008, -9.51847922270E-001, +3.42901001626E-002
+3.51502680613E+008, -9.54532447746E-001, +1.33707196099E-002
+3.59458509129E+008, -9.54242632173E-001, +7.82394148488E-003
+3.67414337645E+008, -9.55800949499E-001, +1.04446261710E-002
+3.75370166161E+008, -9.56524149474E-001, +1.28003190553E-002
+3.83325994677E+008, -9.55917122268E-001, +1.35117675433E-002
+3.91281823193E+008, -9.54580465888E-001, +1.47390702805E-002
+3.99237651709E+008, -9.52635228643E-001, +1.67648765579E-002
+4.07193480225E+008, -9.50275054574E-001, +2.11628238255E-002
